pid,assignees,review_count_expected,product_url,review_url
MOBG3KHEVPSDSWTH,Chinmoy,5640,https://www.flipkart.com/infinix-note-10-95-black-128-gb/p/itmd04ff59c20eee?pid=MOBG3KHEVPSDSWTH&lid=LSTMOBG3KHEVPSDSWTHALMY3W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=c040268c-b93b-4844-b3d8-a61c662aba4f.MOBG3KHEVPSDSWTH.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-note-10-95-black-128-gb/product-reviews/itmd04ff59c20eee?pid=MOBG3KHEVPSDSWTH&lid&marketplace=FLIPKART
MOBGDC6HQJZKSX3K,Chinmoy,2013,https://www.flipkart.com/infinix-smart-6-light-sea-green-64-gb/p/itmd4041ce33d262?pid=MOBGDC6HQJZKSX3K&lid=LSTMOBGDC6HQJZKSX3KUVADVY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=browse&fm=organic&iid=c040268c-b93b-4844-b3d8-a61c662aba4f.MOBGDC6HQJZKSX3K.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-smart-6-light-sea-green-64-gb/product-reviews/itmd4041ce33d262?pid=MOBGDC6HQJZKSX3K&lid&marketplace=FLIPKART
MOBGFG7URKYYCXUS,Chinmoy,10832,https://www.flipkart.com/infinix-hot-10-play-aegean-blue-64-gb/p/itm1f660c8716944?pid=MOBGFG7URKYYCXUS&lid=LSTMOBGFG7URKYYCXUSZ1U485&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_63&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBGFG7URKYYCXUS.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-10-play-aegean-blue-64-gb/product-reviews/itm1f660c8716944?pid=MOBGFG7URKYYCXUS&lid&marketplace=FLIPKART
MOBGHT8UMJBMCAWN,Chinmoy,2235,https://www.flipkart.com/samsung-galaxy-a14-5g-light-green-64-gb/p/itm69060fa751c00?pid=MOBGHT8UMJBMCAWN&lid=LSTMOBGHT8UMJBMCAWN5MYSZV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_4_75&otracker=browse&fm=organic&iid=f4022064-0c46-442d-a907-fcace891c60d.MOBGHT8UMJBMCAWN.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/samsung-galaxy-a14-5g-light-green-64-gb/product-reviews/itm69060fa751c00?pid=MOBGHT8UMJBMCAWN&lid&marketplace=FLIPKART
MOBGNPK29ZWFHGGD,Chinmoy,7979,https://www.flipkart.com/infinix-hot-30i-diamond-white-128-gb/p/itm8b42a43b35895?pid=MOBGNPK29ZWFHGGD&lid=LSTMOBGNPK29ZWFHGGDKTDNDX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_57&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBGNPK29ZWFHGGD.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-30i-diamond-white-128-gb/product-reviews/itm8b42a43b35895?pid=MOBGNPK29ZWFHGGD&lid&marketplace=FLIPKART
MOBGNPK2ZTGZBRXE,Chinmoy,7979,https://www.flipkart.com/infinix-hot-30i-glacier-blue-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2ZTGZBRXE&lid=LSTMOBGNPK2ZTGZBRXEAFQ5YT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_50&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBGNPK2ZTGZBRXE.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-30i-glacier-blue-128-gb/product-reviews/itm8b42a43b35895?pid=MOBGNPK2ZTGZBRXE&lid&marketplace=FLIPKART
MOBGQ9HPEZKFHZFQ,Chinmoy,10420,https://www.flipkart.com/infinix-note-30-5g-magic-black-256-gb/p/itm12c179f0a6281?pid=MOBGQ9HPEZKFHZFQ&lid=LSTMOBGQ9HPEZKFHZFQUVHIKF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_4_88&otracker=browse&fm=organic&iid=27c41e10-27ed-4abd-98f6-f641d6084a85.MOBGQ9HPEZKFHZFQ.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-note-30-5g-magic-black-256-gb/product-reviews/itm12c179f0a6281?pid=MOBGQ9HPEZKFHZFQ&lid&marketplace=FLIPKART
MOBGQP3UFZA4KJYV,Chinmoy,4871,https://www.flipkart.com/oppo-reno10-5g-silvery-grey-256-gb/p/itm8f29359478c6e?pid=MOBGQP3UFZA4KJYV&lid=LSTMOBGQP3UFZA4KJYVWYLCHL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_60&otracker=browse&fm=organic&iid=db8da162-539b-4f66-a003-88ba97480c0c.MOBGQP3UFZA4KJYV.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/oppo-reno10-5g-silvery-grey-256-gb/product-reviews/itm8f29359478c6e?pid=MOBGQP3UFZA4KJYV&lid&marketplace=FLIPKART
MOBGVAPXG4WHFR9M,Chinmoy,2730,https://www.flipkart.com/infinix-smart-8-hd-shiny-gold-64-gb/p/itm709d885ba6ac1?pid=MOBGVAPXG4WHFR9M&lid=LSTMOBGVAPXG4WHFR9MJIYCWG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=c040268c-b93b-4844-b3d8-a61c662aba4f.MOBGVAPXG4WHFR9M.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-smart-8-hd-shiny-gold-64-gb/product-reviews/itm709d885ba6ac1?pid=MOBGVAPXG4WHFR9M&lid&marketplace=FLIPKART
MOBGW5HMH5Z3MQCK,Chinmoy,1707,https://www.flipkart.com/itel-it5330-2-8-inch-big-display-1900-mah-battery-kingvoice/p/itmfb08600c266c4?pid=MOBGW5HMH5Z3MQCK&lid=LSTMOBGW5HMH5Z3MQCKHV9JQO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=c8ce05c6-52c0-4569-afd8-75ccaae2da3a.MOBGW5HMH5Z3MQCK.SEARCH&ppt=browse&ppn=browse&ssid=7cb6q66q740000001787003421495&ov_redirect=true,https://www.flipkart.com/itel-it5330-2-8-inch-big-display-1900-mah-battery-kingvoice/product-reviews/itmfb08600c266c4?pid=MOBGW5HMH5Z3MQCK&lid&marketplace=FLIPKART
MOBGWV5HGPYMDWUN,Chinmoy,1853,https://www.flipkart.com/infinix-smart-8-rainbow-blue-64-gb/p/itmb5696a34ad441?pid=MOBGWV5HGPYMDWUN&lid=LSTMOBGWV5HGPYMDWUNX0Q8RJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_65&otracker=browse&fm=organic&iid=5bfb90c6-b603-4b4d-9dd1-723d2ca6e30a.MOBGWV5HGPYMDWUN.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-smart-8-rainbow-blue-64-gb/product-reviews/itmb5696a34ad441?pid=MOBGWV5HGPYMDWUN&lid&marketplace=FLIPKART
MOBGYT2HEYWFCG8Q,Chinmoy,5950,https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-128-gb/p/itm9684d2fe9201e?pid=MOBGYT2HEYWFCG8Q&lid=LSTMOBGYT2HEYWFCG8QSW6D6Y&marketplace=FLIPKART&store=tyy%2F4io&srno=b_5_107&otracker=browse&fm=organic&iid=acbca51a-fd8e-462a-be32-7db80e80e86c.MOBGYT2HEYWFCG8Q.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-128-gb/product-reviews/itm9684d2fe9201e?pid=MOBGYT2HEYWFCG8Q&lid&marketplace=FLIPKART
MOBH34XGJUTK8GJA,Chinmoy,2255,https://www.flipkart.com/infinix-note-40x-5g-starlit-black-256-gb/p/itm9c39960257804?pid=MOBH34XGJUTK8GJA&lid=LSTMOBH34XGJUTK8GJAFIWAEI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=c040268c-b93b-4844-b3d8-a61c662aba4f.MOBH34XGJUTK8GJA.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-note-40x-5g-starlit-black-256-gb/product-reviews/itm9c39960257804?pid=MOBH34XGJUTK8GJA&lid&marketplace=FLIPKART
MOBH45FZHVQKGQPQ,Chinmoy,1329,https://www.flipkart.com/infinix-hot-50-5g-sage-green-128-gb/p/itm61d8bc127842c?pid=MOBH45FZHVQKGQPQ&lid=LSTMOBH45FZHVQKGQPQO18Q9S&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=c040268c-b93b-4844-b3d8-a61c662aba4f.MOBH45FZHVQKGQPQ.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-50-5g-sage-green-128-gb/product-reviews/itm61d8bc127842c?pid=MOBH45FZHVQKGQPQ&lid&marketplace=FLIPKART
MOBH45FZSETQ3KMG,Chinmoy,1329,https://www.flipkart.com/infinix-hot-50-5g-sleek-black-128-gb/p/itm61d8bc127842c?pid=MOBH45FZSETQ3KMG&lid=LSTMOBH45FZSETQ3KMGKEMMXU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=c040268c-b93b-4844-b3d8-a61c662aba4f.MOBH45FZSETQ3KMG.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/infinix-hot-50-5g-sleek-black-128-gb/product-reviews/itm61d8bc127842c?pid=MOBH45FZSETQ3KMG&lid&marketplace=FLIPKART
MOBH4GBFXAJPXAHQ,Chinmoy,5810,https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-feather-pink-128-gb/p/itma30cb38861d4c?pid=MOBH4GBFXAJPXAHQ&lid=LSTMOBH4GBFXAJPXAHQTV92TL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_50&otracker=browse&fm=organic&iid=db8da162-539b-4f66-a003-88ba97480c0c.MOBH4GBFXAJPXAHQ.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-feather-pink-128-gb/product-reviews/itma30cb38861d4c?pid=MOBH4GBFXAJPXAHQ&lid&marketplace=FLIPKART
MOBH4GTXZ9ZRQ3SU,Chinmoy,4547,https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUXCBGGE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_4_89&otracker=browse&fm=organic&iid=f4022064-0c46-442d-a907-fcace891c60d.MOBH4GTXZ9ZRQ3SU.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/product-reviews/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid&marketplace=FLIPKART
MOBH4ZG3KPRR7HWZ,Chinmoy,6549,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-graphite-256-gb/p/itme960199e26f23?pid=MOBH4ZG3KPRR7HWZ&lid=LSTMOBH4ZG3KPRR7HWZWYHPPG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=browse&fm=organic&iid=c8ce05c6-52c0-4569-afd8-75ccaae2da3a.MOBH4ZG3KPRR7HWZ.SEARCH&ppt=browse&ppn=browse&ssid=7cb6q66q740000001787003421495&ov_redirect=true,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-graphite-256-gb/product-reviews/itme960199e26f23?pid=MOBH4ZG3KPRR7HWZ&lid&marketplace=FLIPKART
MOBH4ZG3TSXHKXH2,Chinmoy,6549,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-mint-128-gb/p/itme960199e26f23?pid=MOBH4ZG3TSXHKXH2&lid=LSTMOBH4ZG3TSXHKXH2BH0BQS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_4_86&otracker=browse&fm=organic&iid=f4022064-0c46-442d-a907-fcace891c60d.MOBH4ZG3TSXHKXH2.SEARCH&ppt=browse&ppn=browse&ov_redirect=true,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-mint-128-gb/product-reviews/itme960199e26f23?pid=MOBH4ZG3TSXHKXH2&lid&marketplace=FLIPKART
